doc_id,url,terms
5a0b4140cf58f18684253c11,Archeological Testing and Data Recovery at the Flatrock Road Site.pdf,"{Agate,Antimony,Aragonite,Arsenic,Calcite,Chromium,Corundum,Copper,Feldspar,Graphite,Hematite,Ice,Iron,Lead,Mercury,Muscovite,Nickel,Plagioclase,Quartz,Silicon,Silver,Tin,Tourmaline,Turquoise,Zinc,Mica,Tantalum,Titanium,Tungsten,""K Feldspar"",Manganese,Helium,""Phase A"",Cobalt,Charcoal,Phosphorus,Ytterbium,Bronze,Vanadium,Magnesium,Cerium,gravel,sand,silt,sandstone,conglomerate,carbonate,limestone,coal,peat,chert,granite,volcanic,basalt,glass,ash,marble,clay,sedimentary,loess,flint,alluvium,soil,paleosol,obsidian}"
5a0b40ebcf58f18684253bf8,Archeological Testing at 41TR170 along the Clear Fork of the Tri.pdf,"{Amalgam,Calcite,Hematite,Iron,Lead,Quartz,Silicon,""Phase A"",Charcoal,gravel,sand,silt,mud,shale,siltstone,sandstone,conglomerate,carbonate,marl,limestone,chert,glass,ash,quartzite,clay,sedimentary,alluvium,soil,paleosol}"
5a0b4174cf58f18684253c23,Archeological Testing in the De Dietrich (USA) Inc. Project Site.pdf,"{Lead,""Phase A"",Charcoal,silt,chert,clay,loess,alluvium,soil}"
5a0b416ccf58f18684253c1c,Archeological Testing of 41KM3 The Red Creek Site A Burned-Rock M.pdf,"{Ice,Tin,""Phase A"",Charcoal,gravel,sand,silt,sandstone,conglomerate,carbonate,limestone,glass,ash,clay,sedimentary,flint,soil,paleosol}"
5a0b40dbcf58f18684253bf2,Archeological Testing of Sites 41GD113 and 41GD114 in Goliad Coun.pdf,"{Iron,Maghemite,Nickel,Sulphur,Manganese,""Phase A"",Charcoal,gravel,sand,silt,sandstone,conglomerate,carbonate,limestone,coal,chert,glass,ash,quartzite,clay,sedimentary,flint,alluvium,soil,paleosol}"
5a0b40d9cf58f18684253bf1,Archeological Testing of Sites 41WB437 and 41WB438 Webb County T.pdf,"{Agate,Diamond,Opal-AN,Iron,Opal,Quartz,""Phase A"",Charcoal,gravel,sand,silt,siltstone,sandstone,carbonate,chert,metamorphic,quartzite,clay,igneous,alluvium,regolith,soil}"
5a0b400acf58f18684253bae,Archeological Testing of the Pavo Real Site (41BX52) San Antonio.pdf,"{Gypsum,Nickel,Quartz,""Phase A"",Charcoal,gravel,sand,carbonate,limestone,gypsum,chert,clay,sedimentary,alluvium,colluvium,soil}"
5a0b40cecf58f18684253bec,Barrett Site (41MM382) Assessment Milam County Texas.pdf,"{Agate,Aragonite,Calcite,Dolomite,Ice,Iron,Lead,Lime,Nickel,Quartz,Silicon,Silver,Zinc,Smectite,Titanium,Manganese,Carbonyl,""Phase A"",Charcoal,Phosphorus,Magnesium,gravel,sand,silt,mudstone,sandstone,carbonate,marl,limestone,dolomite,lignite,tar,chert,volcanic,glass,ash,metamorphic,migmatite,quartzite,marble,clay,igneous,till,sedimentary,flint,alluvium,colluvium,soil,paleosol,obsidian}"
5a0b40f5cf58f18684253c01,Camp Maxey III Archaeological Testing of 23 Prehistoric Sites La.pdf,"{Hematite,Iron,Lead,Maghemite,Montmorillonite,Nickel,Quartz,Sulphur,Tin,Manganese,""Phase A"",Charcoal,gravel,sand,silt,mud,shale,sandstone,carbonate,marl,limestone,lignite,chert,ash,quartzite,clay,grit,novaculite,alluvium,colluvium,soil,paleosol}"
5a0b40f0cf58f18684253bfc,Camp Maxey IV Archaeological Testing of Six Sites Lamar County.pdf,"{Iron,Lead,Maghemite,Nickel,Quartz,""Phase A"",Charcoal,gravel,sand,sandstone,carbonate,limestone,chert,glass,ash,quartzite,clay,novaculite,soil}"
5a0b3fc9cf58f18684253b95,Changing Lifeways along the Guadalupe Basin in South Texas_ The R.pdf,"{Gold,Iron,Lead,Nickel,Quartz,""Phase A"",Charcoal,Magnesium,gravel,sand,silt,mud,sandstone,carbonate,peat,lignite,chert,ironstone,glass,ash,quartzite,clay,loess,flint,alluvium,soil}"
5a0b40b9cf58f18684253be3,Chipped Stone and Adobe_ A Cultural Resources Assessment of the P.pdf,"{Copper,Diamond,Glauconite,Gold,Hematite,Ice,Iron,Lead,Lime,Ruby,Silver,Tin,Urea,""Phase A"",Cobalt,Charcoal,gravel,sand,silt,mud,sandstone,carbonate,marl,limestone,chert,ironstone,basalt,glass,ash,quartzite,marble,clay,till,sedimentary,grit,alluvium,soil}"
5a0b3fc5cf58f18684253b94,Choke Canyon Series Vol. 10.pdf,"{Amalgam,Copper,Diamond,Goethite,Gold,Graphite,Gypsum,Hematite,Opal-AN,Ice,Iron,Lead,Limonite,Magnetite,Opal,Quartz,Turquoise,""Phase A"",Charcoal,gravel,sand,silt,mud,shale,siltstone,sandstone,conglomerate,carbonate,limestone,gypsum,coal,peat,tar,chert,ironstone,volcanic,glass,ash,tuff,quartzite,chalk,clay,sedimentary,flint,pumice,alluvium,soil,obsidian}"
5a0b4097cf58f18684253bda,Choke Canyon Series Vol. 8.pdf,"{Aquamarine,Arsenic,Copper,Opal-AN,Ice,Iron,Lead,Onyx,Opal,Tin,Zinc,""Phase A"",Charcoal,Phosphorus,gravel,sand,silt,siltstone,sandstone,conglomerate,carbonate,limestone,coal,peat,lignite,chert,ironstone,volcanic,glass,ash,tuff,metamorphic,slate,quartzite,clay,igneous,till,flint,soil}"
